rule_id,action_date,action_time,adset_id,account_id,old_budget,new_budget,response,spend_at_action,today_roi_at_action,last_3_days_spend_at_action,last_3_days_roi_at_action,remaining_days,date,settled_spend,settled_roi,settled_profit,conservative_rate,central_rate,optimistic_rate,conservative_forgone_profit,central_forgone_profit,optimistic_forgone_profit
R01,2026-06-12,2026-06-12 20:00:08+03:00,31626016833981,9913405683583663,39.5986,31.6738,SUCCESS,20.9677,-0.18,203.7461,-0.11,0,2026-06-12,20.2184,-0.1508,-3.048,-0.1508,-0.1508,-0.11,-0.0,-0.0,-0.0
R01,2026-06-12,2026-06-12 19:30:06+03:00,31626016833981,9913405683583663,39.5986,31.6738,SUCCESS,20.2819,-0.15,203.7461,-0.11,0,2026-06-12,20.2184,-0.1508,-3.048,-0.1508,-0.1508,-0.11,-0.0,-0.0,-0.0
R03,2026-06-12,2026-06-12 08:00:06+03:00,31166928670267,9913405683583663,1.27,1.27,SUCCESS,0.0127,-1.0,0.0254,-0.97,0,2026-06-12,0.0127,-1.0,-0.0127,-1.0,-1.0,-0.97,-0.0,-0.0,-0.0
R03,2026-06-12,2026-06-12 07:30:06+03:00,31166928670267,9913405683583663,1.27,1.27,SUCCESS,0.0127,-1.0,0.0254,-0.97,0,2026-06-12,0.0127,-1.0,-0.0127,-1.0,-1.0,-0.97,-0.0,-0.0,-0.0
R01,2026-06-12,2026-06-12 02:30:08+03:00,31191755212537,9913405683583663,12.7,10.16,SUCCESS,8.382,-0.47,201.39659999999998,0.05,0,2026-06-12,9.4488,0.2996,2.8312,0.05,0.2996,0.2996,0.0,0.0,0.0
R04,2026-06-11,2026-06-11 17:00:08+03:00,31200641544594,9913405683583663,1.27,1.27,SUCCESS,0.4445,-1.0,,,1,2026-06-11,0.4826,-1.0,-0.4826,-1.0,-1.0,-1.0,-0.4826,-0.4826,-0.4826
R04,2026-06-11,2026-06-11 17:00:08+03:00,31886594280574,9913405683583663,1.27,1.27,SUCCESS,0.4445,-1.0,,,1,2026-06-11,0.4572,-1.0,-0.4572,-1.0,-1.0,-1.0,-0.4572,-0.4572,-0.4572
R04,2026-06-11,2026-06-11 16:45:08+03:00,31886594280574,9913405683583663,1.27,1.27,SUCCESS,0.4445,-1.0,,,1,2026-06-11,0.4572,-1.0,-0.4572,-1.0,-1.0,-1.0,-0.4572,-0.4572,-0.4572
R04,2026-06-11,2026-06-11 16:45:08+03:00,31200641544594,9913405683583663,1.27,1.27,SUCCESS,0.4445,-1.0,,,1,2026-06-11,0.4826,-1.0,-0.4826,-1.0,-1.0,-1.0,-0.4826,-0.4826,-0.4826
R03,2026-06-11,2026-06-11 15:01:17+03:00,31155637096434,9913405683583663,1.27,1.27,SUCCESS,0.0254,-1.0,,,1,2026-06-11,0.0254,-1.0,-0.0254,-1.0,-1.0,-1.0,-0.0254,-0.0254,-0.0254
R03,2026-06-11,2026-06-11 14:30:05+03:00,31155637096434,9913405683583663,1.27,1.27,SUCCESS,0.0254,-1.0,,,1,2026-06-11,0.0254,-1.0,-0.0254,-1.0,-1.0,-1.0,-0.0254,-0.0254,-0.0254
R05,2026-06-11,2026-06-11 12:30:09+03:00,31818629447720,9913405683583663,5.08,5.08,SUCCESS,3.0353,-0.44,2.1082,0.02,1,2026-06-11,3.1115,-0.3429,-1.0668,-0.3429,-0.3429,0.02,-1.06693335,-1.06693335,0.06223
R06,2026-06-11,2026-06-11 12:30:07+03:00,31818629447720,9913405683583663,5.08,5.08,SUCCESS,3.0353,-0.44,2.1082,0.02,1,2026-06-11,3.1115,-0.3429,-1.0668,-0.3429,-0.3429,0.02,-1.06693335,-1.06693335,0.06223
R01,2026-06-11,2026-06-11 05:00:08+03:00,31167350331032,9913405683583663,6.35,3.175,SUCCESS,0.7112,-1.0,19.6469,-0.58,1,2026-06-11,0.9271,-1.0,-0.9271,-1.0,-1.0,-0.58,-0.9271,-0.9271,-0.537718
R05,2026-06-11,2026-06-11 02:00:07+03:00,31278865310814,9913405683583663,1.27,3.81,SUCCESS,0.254,-1.0,2.3495,-0.46,1,2026-06-11,0.3683,-0.4138,-0.1524,-0.46,-0.4138,-0.4138,-0.169418,-0.15240254,-0.15240254
R03,2026-06-10,2026-06-10 21:30:07+03:00,31216242520025,9913405683583663,1.27,1.27,SUCCESS,0.0127,-1.0,,,2,2026-06-10,0.0127,-1.0,-0.0127,-1.0,-1.0,-1.0,-0.0254,-0.0254,-0.0254
R04,2026-06-10,2026-06-10 20:00:11+03:00,31142755508350,9913405683583663,1.27,1.27,SUCCESS,0.4826,-1.0,,,2,2026-06-10,0.4826,-1.0,-0.4826,-1.0,-1.0,-1.0,-0.9652,-0.9652,-0.9652
R04,2026-06-10,2026-06-10 20:00:11+03:00,31264368174916,9913405683583663,1.27,1.27,SUCCESS,1.2573,-1.0,,,2,2026-06-10,1.3335,-1.0,-1.3335,-1.0,-1.0,-1.0,-2.667,-2.667,-2.667
R04,2026-06-10,2026-06-10 20:00:11+03:00,31107075634783,9913405683583663,1.27,1.27,SUCCESS,1.1684,-1.0,,,2,2026-06-10,1.2446,-1.0,-1.2446,-1.0,-1.0,-1.0,-2.4892,-2.4892,-2.4892
R04,2026-06-10,2026-06-10 20:00:11+03:00,31315513289109,9913405683583663,1.27,1.27,SUCCESS,0.9525,-1.0,,,2,2026-06-10,0.9525,-1.0,-0.9525,-1.0,-1.0,-1.0,-1.905,-1.905,-1.905
R04,2026-06-10,2026-06-10 20:00:11+03:00,31887606876383,9913405683583663,1.27,1.27,SUCCESS,1.4478,-0.53,,,2,2026-06-10,1.4732,-0.5431,-0.8001,-0.5431,-0.5431,-0.5431,-1.60018984,-1.60018984,-1.60018984
R04,2026-06-10,2026-06-10 19:45:15+03:00,31887606876383,9913405683583663,1.27,1.27,SUCCESS,1.4478,-0.53,,,2,2026-06-10,1.4732,-0.5431,-0.8001,-0.5431,-0.5431,-0.5431,-1.60018984,-1.60018984,-1.60018984
R04,2026-06-10,2026-06-10 19:45:15+03:00,31142755508350,9913405683583663,1.27,1.27,SUCCESS,0.4826,-1.0,,,2,2026-06-10,0.4826,-1.0,-0.4826,-1.0,-1.0,-1.0,-0.9652,-0.9652,-0.9652
R04,2026-06-10,2026-06-10 19:45:15+03:00,31264368174916,9913405683583663,1.27,1.27,SUCCESS,1.2573,-1.0,,,2,2026-06-10,1.3335,-1.0,-1.3335,-1.0,-1.0,-1.0,-2.667,-2.667,-2.667
R04,2026-06-10,2026-06-10 19:45:15+03:00,31107075634783,9913405683583663,1.27,1.27,SUCCESS,1.1684,-1.0,,,2,2026-06-10,1.2446,-1.0,-1.2446,-1.0,-1.0,-1.0,-2.4892,-2.4892,-2.4892
R04,2026-06-10,2026-06-10 19:45:15+03:00,31315513289109,9913405683583663,1.27,1.27,SUCCESS,0.9525,-1.0,,,2,2026-06-10,0.9525,-1.0,-0.9525,-1.0,-1.0,-1.0,-1.905,-1.905,-1.905
R04,2026-06-10,2026-06-10 19:30:18+03:00,31315513289109,9913405683583663,1.27,1.27,SUCCESS,0.9398,-1.0,,,2,2026-06-10,0.9525,-1.0,-0.9525,-1.0,-1.0,-1.0,-1.905,-1.905,-1.905
R04,2026-06-10,2026-06-10 19:30:18+03:00,31264368174916,9913405683583663,1.27,1.27,SUCCESS,1.2319,-1.0,,,2,2026-06-10,1.3335,-1.0,-1.3335,-1.0,-1.0,-1.0,-2.667,-2.667,-2.667
R04,2026-06-10,2026-06-10 19:30:18+03:00,31142755508350,9913405683583663,1.27,1.27,SUCCESS,0.4572,-1.0,,,2,2026-06-10,0.4826,-1.0,-0.4826,-1.0,-1.0,-1.0,-0.9652,-0.9652,-0.9652
R04,2026-06-10,2026-06-10 19:30:18+03:00,31107075634783,9913405683583663,1.27,1.27,SUCCESS,1.1684,-1.0,,,2,2026-06-10,1.2446,-1.0,-1.2446,-1.0,-1.0,-1.0,-2.4892,-2.4892,-2.4892
R04,2026-06-10,2026-06-10 19:30:18+03:00,31887606876383,9913405683583663,1.27,1.27,SUCCESS,1.4097,-0.52,,,2,2026-06-10,1.4732,-0.5431,-0.8001,-0.5431,-0.5431,-0.5431,-1.60018984,-1.60018984,-1.60018984
R05,2026-06-10,2026-06-10 18:00:17+03:00,31386467900989,9913405683583663,,,SUCCESS,1.2827,-1.0,,,2,2026-06-10,1.3462,-1.0,-1.3462,-1.0,-1.0,-1.0,-2.6924,-2.6924,-2.6924
R08,2026-06-10,2026-06-10 18:00:12+03:00,31554978465845,9913405683583663,1.27,1.27,SUCCESS,4.6736,-0.9,10.541,0.22,2,2026-06-10,4.6736,-0.8995,-4.2037,-0.8995,-0.8995,0.22,-8.4078064,-8.4078064,2.056384
R08,2026-06-08,2026-06-08 04:00:09+03:00,31314467522499,9913405683583663,1.27,1.27,SUCCESS,0.2667,-0.37,3.8227,-0.2,4,2026-06-08,0.3175,1.0,0.3175,-0.2,1.0,1.0,-0.254,1.27,1.27
R03,2026-06-08,2026-06-08 02:30:11+03:00,31320961897998,9913405683583663,1.27,1.27,SUCCESS,0.0127,-1.0,1.8542,-1.0,4,2026-06-08,0.1016,-1.0,-0.1016,-1.0,-1.0,-1.0,-0.4064,-0.4064,-0.4064
R03,2026-06-08,2026-06-08 02:30:11+03:00,31300423850323,9913405683583663,5.08,5.08,SUCCESS,0.0762,-0.37,3.4544,-0.17,4,2026-06-08,0.1143,-0.5556,-0.0635,-0.5556,-0.5556,-0.17,-0.25402031999999997,-0.25402031999999997,-0.077724
R08,2026-06-08,2026-06-08 02:30:07+03:00,31132979320923,9913405683583663,1.27,1.27,SUCCESS,0.3175,-1.0,3.8608,-0.25,4,2026-06-08,0.3429,-1.0,-0.3429,-1.0,-1.0,-0.25,-1.3716,-1.3716,-0.3429
R03,2026-06-08,2026-06-08 02:00:15+03:00,31108511698120,9913405683583663,1.27,1.27,SUCCESS,0.2286,-1.0,1.6891,-1.0,4,2026-06-08,0.2413,-1.0,-0.2413,-1.0,-1.0,-1.0,-0.9652,-0.9652,-0.9652
R03,2026-06-08,2026-06-08 02:00:15+03:00,31951560420530,9913405683583663,1.27,1.27,SUCCESS,0.2794,-1.0,1.7145,-0.59,4,2026-06-08,0.3048,-1.0,-0.3048,-1.0,-1.0,-0.59,-1.2192,-1.2192,-0.719328
R03,2026-06-08,2026-06-08 02:00:15+03:00,31175040661465,9913405683583663,1.27,1.27,SUCCESS,0.0127,-1.0,1.6002,-0.03,4,2026-06-08,0.0127,-1.0,-0.0127,-1.0,-1.0,-0.03,-0.0508,-0.0508,-0.001524
R03,2026-06-08,2026-06-08 02:00:15+03:00,31793648614099,9913405683583663,1.27,1.27,SUCCESS,0.0762,-1.0,1.6002,-0.71,4,2026-06-08,0.0762,-1.0,-0.0762,-1.0,-1.0,-0.71,-0.3048,-0.3048,-0.216408
R08,2026-06-08,2026-06-08 02:00:05+03:00,31255165214890,9913405683583663,3.81,6.35,SUCCESS,8.2296,-0.87,95.3262,0.04,4,2026-06-08,9.6012,0.2998,2.8788,0.04,0.2998,0.2998,1.536192,11.51375904,11.51375904
R03,2026-06-08,2026-06-08 01:30:20+03:00,31951560420530,9913405683583663,1.27,1.27,SUCCESS,0.2794,-1.0,1.7018,-0.59,4,2026-06-08,0.3048,-1.0,-0.3048,-1.0,-1.0,-0.59,-1.2192,-1.2192,-0.719328
R03,2026-06-08,2026-06-08 01:30:20+03:00,31108511698120,9913405683583663,1.27,1.27,SUCCESS,0.2286,-1.0,1.6891,-1.0,4,2026-06-08,0.2413,-1.0,-0.2413,-1.0,-1.0,-1.0,-0.9652,-0.9652,-0.9652
R03,2026-06-08,2026-06-08 01:30:20+03:00,31175040661465,9913405683583663,1.27,1.27,SUCCESS,0.0127,-1.0,1.6002,-0.03,4,2026-06-08,0.0127,-1.0,-0.0127,-1.0,-1.0,-0.03,-0.0508,-0.0508,-0.001524
R03,2026-06-08,2026-06-08 01:30:20+03:00,31793648614099,9913405683583663,1.27,1.27,SUCCESS,0.0762,-1.0,1.6002,-0.71,4,2026-06-08,0.0762,-1.0,-0.0762,-1.0,-1.0,-0.71,-0.3048,-0.3048,-0.216408
R08,2026-06-08,2026-06-08 01:30:07+03:00,31255165214890,9913405683583663,3.81,6.35,SUCCESS,8.2296,-0.87,93.9546,0.05,4,2026-06-08,9.6012,0.2998,2.8788,0.05,0.2998,0.2998,1.9202400000000002,11.51375904,11.51375904
